"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,           0,       1.082746182,      -1.891949367,       -2.07443678,                 0,      -4.078106925
          0,           0,           1,       1.037275975,      -1.428748868,      -1.583275762,                 0,      -4.214497212
          0,           0,           2,       1.001120631,      -1.601089562,      -1.739928609,                 0,      -4.313201256
          0,           0,           3,      0.9678334593,      -1.702357143,      -1.752978763,                 0,      -4.369801466
          0,           0,           4,      0.9350048001,      -1.768521825,      -1.751429329,                 0,      -4.412771324
          0,           0,           5,      0.9028838128,      -1.810834622,      -1.745698496,                 0,      -4.448881255
          0,           0,           6,      0.8724436078,      -1.833447916,       -1.73906259,                 0,      -4.480053707
          0,           0,           7,      0.8447347771,      -1.839776552,      -1.734145133,                 0,      -4.506995029
          0,           0,           8,      0.8206411684,      -1.834422865,      -1.731526013,                 0,      -4.530535633
          0,           0,           9,      0.8008138242,      -1.821741346,      -1.730890175,                 0,      -4.551320249
          0,           0,          10,      0.7857155877,      -1.804460719,      -1.731344689,                 0,       -4.56949683
          0,           0,          11,      0.7756602623,      -1.783700684,      -1.731688728,                 0,      -4.584777167
          0,           0,          12,      0.7707420711,      -1.759871535,      -1.730963116,                 0,       -4.59680139
          0,           0,          13,      0.7706884666,        -1.7335553,       -1.72896776,                 0,      -4.605504464
          0,           0,          14,      0.7747820294,      -1.705831488,      -1.726355666,                 0,      -4.611188108
          0,           0,          15,      0.7819497727,      -1.678078964,      -1.724280361,                 0,      -4.614292826
          0,           0,          16,      0.7909765136,      -1.651610202,      -1.723913861,                 0,      -4.615130618
          0,           0,          17,      0.8007201886,      -1.627423765,       -1.72611729,                 0,      -4.613812781
          0,           0,          18,      0.8102446055,       -1.60613578,      -1.731311221,                 0,      -4.610392003
          0,           0,          19,       0.818857456,      -1.588026921,      -1.739463188,                 0,      -4.605068958
          0,           0,          20,      0.8260885187,      -1.573127908,      -1.750106918,                 0,      -4.598305071
          0,           0,          21,      0.8316492287,      -1.561297674,      -1.762359729,                 0,      -4.590784384
          0,           0,          22,      0.8354003769,      -1.552277243,      -1.774957456,                 0,      -4.583275021
          0,           0,          23,      0.8373374202,      -1.545718574,       -1.78636447,                 0,      -4.576479336
          0,           0,          24,      0.8375892536,      -1.541197149,      -1.795020712,                 0,      -4.570930716
          0,           0,          25,       0.836419835,      -1.538220798,      -1.799724206,                 0,      -4.566947312
          0,           0,          26,      0.8342214031,      -1.536246218,      -1.800017566,                 0,      -4.564626329
          0,           0,          27,      0.8314913887,      -1.534710033,      -1.796359148,                 0,      -4.563859089
          0,           0,          28,      0.8287913616,      -1.533073322,       -1.78995214,                 0,      -4.564354261
          0,           0,          29,      0.8266933854,      -1.530870502,      -1.782327033,                 0,       -4.56566276
          0,           0,          30,      0.8257246305,      -1.527749175,      -1.774899243,                 0,      -4.567199287
          0,           0,          31,      0.8263224507,      -1.523489386,      -1.768660154,                 0,      -4.568256871
          0,           0,          32,      0.8288070605,      -1.517998865,      -1.764028596,                 0,      -4.568016637
          0,           0,          33,       0.833368763,       -1.51129173,      -1.760818014,                 0,      -4.565570682
          0,           0,          34,      0.8400579468,      -1.503464853,      -1.758281305,                 0,      -4.559998383
          0,           0,          35,      0.8487658269,      -1.494684805,      -1.755239491,                 0,      -4.550539171
          0,           0,          36,      0.8591945564,       -1.48519005,      -1.750332785,                 0,      -4.536855853
          0,           0,          37,      0.8708309452,      -1.475302269,      -1.742407365,                 0,      -4.519290661
          0,           0,          38,      0.8829467287,      -1.465433186,      -1.730949426,                 0,      -4.498962162
          0,           0,          39,      0.8946424834,      -1.456072577,      -1.716371079,                 0,      -4.477620381
          0,           0,          40,      0.9049353247,      -1.447749452,      -1.699981065,                 0,      -4.457327742
          0,           0,          41,      0.9128748194,      -1.440967955,      -1.683661862,                 0,      -4.440119615
          0,           0,          42,       0.917667638,      -1.436127444,      -1.669443813,                 0,      -4.427756694
          0,           0,          43,      0.9187987166,      -1.433439976,      -1.659161225,                 0,      -4.421584854
          0,           0,          44,        0.91614603,      -1.432859594,      -1.654250913,                 0,      -4.422449554
          0,           0,          45,      0.9100866737,      -1.434039819,      -1.655647126,                 0,       -4.43058831
          0,           0,          46,      0.9015750005,      -1.436340075,      -1.663688081,                 0,      -4.445428349
          0,           0,          47,      0.8921368883,      -1.438904088,      -1.677955544,                 0,      -4.465248809
          0,           0,          48,      0.8836866897,      -1.440821967,      -1.697003401,                 0,      -4.486789412
          0,           0,          49,      0.8780952972,      -1.441352631,      -1.718030792,                 0,      -4.505203263
          0,           0,          50,      0.8765891456,      -1.440134412,      -1.736797472,                 0,      -4.515118803
          0,           0,          51,      0.8792778752,      -1.437289379,      -1.748388511,                 0,      -4.513078763
          0,           0,          52,       0.885130762,      -1.433367907,      -1.749178986,                 0,      -4.499673804
          0,           0,          53,      0.8924181937,      -1.429163995,      -1.738896717,                 0,      -4.479051249
          0,           0,          54,      0.8993125663,        -1.4254905,       -1.72073802,                 0,      -4.456383419
          0,           0,          55,      0.9043380586,      -1.422997466,       -1.69941019,                 0,      -4.435816292
          0,           0,          56,      0.9065719388,      -1.422070618,      -1.679096878,                 0,      -4.419869708
          0,           0,          57,      0.9056620128,       -1.42280598,      -1.662602424,                 0,      -4.409683591
          0,           0,          58,      0.9017544072,      -1.425039707,      -1.651408326,                 0,      -4.405435562
          0,           0,          59,      0.8953887114,      -1.428412944,      -1.646021828,                 0,      -4.406661418
          0,           0,          60,      0.8873775666,      -1.432456871,       -1.64629006,                 0,      -4.412452355
          0,           0,          61,      0.8786682734,      -1.436685259,      -1.651604777,                 0,      -4.421578326
          0,           0,          62,      0.8701863969,      -1.440680402,      -1.661021541,                 0,      -4.432596628
          0,           0,          63,      0.8626789264,      -1.444156862,      -1.673339873,                 0,       -4.44399327
          0,           0,          64,      0.8565930297,      -1.446990767,      -1.687190124,                 0,      -4.454376496
          0,           0,          65,      0.8520276278,      -1.449211433,      -1.701162002,                 0,      -4.462695463
          0,           0,          66,      0.8487711453,      -1.450963202,      -1.713984294,                 0,      -4.468411859
          0,           0,          67,      0.8464038465,      -1.452452758,      -1.724724072,                 0,      -4.471547604
          0,           0,          68,      0.8444217819,      -1.453897631,      -1.732936343,                 0,      -4.472585797
          0,           0,          69,      0.8423430493,      -1.455486609,      -1.738696399,                 0,      -4.472276376
          0,           0,          70,      0.8397766572,      -1.457356011,      -1.742499108,                 0,      -4.471432078
          0,           0,          71,      0.8364536798,       -1.45958063,      -1.745074837,                 0,      -4.470778098
          0,           0,          72,      0.8322308333,      -1.462175603,      -1.747199201,                 0,      -4.470873665
          0,           0,          73,       0.827078442,      -1.465105058,      -1.749552288,                 0,      -4.472091375
          0,           0,          74,      0.8210621011,      -1.468294116,      -1.752642728,                 0,       -4.47463001
          0,           0,          75,      0.8143236696,      -1.471641871,      -1.756783497,                 0,       -4.47854054
          0,           0,          76,      0.8070642027,      -1.475033872,      -1.762097631,                 0,      -4.483752904
          0,           0,          77,       0.799529431,      -1.478353264,      -1.768535887,                 0,      -4.490097903
          0,           0,          78,      0.7919972335,      -1.481490154,      -1.775896105,                 0,      -4.497322908
          0,           0,          79,      0.7847659784,      -1.484348959,      -1.783841071,                 0,      -4.505102662
          0,           0,          80,      0.7781424286,      -1.486853653,      -1.791916807,                 0,      -4.513048054
