"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-001, 9.428599150851370e-004, -1.876476069580442e+002, 1.000851652499744e+000, -9.132756551970059e-004, -1.061427254936806e-003, 0.000000000000000e+000, 0.000000000000000e+000, 2.137002143362738e+000
51, 9.695732593536380e-001, 1.489007263444360e-003, -1.497549748507879e+002, 1.000851652499744e+000, -9.132756551970059e-004, -6.469570891459314e-004, 0.000000000000000e+000, 0.000000000000000e+000, 7.896255633409601e-001
77, 9.526804089546200e-001, 1.679251203313470e-003, -1.082109819622460e+002, 1.000851652499744e+000, -9.132756551970059e-004, -6.351293981798208e-004, 0.000000000000000e+000, 0.000000000000000e+000, 3.183969387399194e-001
103, 9.349957108497620e-001, 1.511327689513560e-003, -6.758662237225981e+001, 1.000851652499744e+000, -9.132756551970059e-004, -6.741233157924622e-004, 0.000000000000000e+000, 0.000000000000000e+000, 1.202361091711378e-001
129, 9.168222546577450e-001, 9.227616828866300e-004, -3.034936993664816e+001, 1.000851652499744e+000, -9.132756551970059e-004, -7.212713516488065e-004, 0.000000000000000e+000, 0.000000000000000e+000, 3.199248969166717e-002
155, 8.983380794525150e-001, 8.054462341533510e-006, -5.870658716750575e-001, 1.000851652499744e+000, -9.132756551970059e-004, -7.740383738996056e-004, 0.000000000000000e+000, 0.000000000000000e+000, -3.888940239953149e-003
181, 8.797067403793331e-001, -1.210561604239050e-003, 1.946474452994475e+001, 1.000851652499744e+000, -9.132756551970059e-004, -8.106977801408461e-004, 0.000000000000000e+000, 0.000000000000000e+000, -1.682525196924186e-002
207, 8.610174655914310e-001, -2.686113817617300e-003, 2.895415882844559e+001, 1.000851652499744e+000, -9.132756551970059e-004, -8.211538572088169e-004, 0.000000000000000e+000, 0.000000000000000e+000, -1.986377764927080e-002
233, 8.422674536705020e-001, -4.354327917099000e-003, 2.858202604801994e+001, 1.000851652499744e+000, -9.132756551970059e-004, -8.057965008275820e-004, 0.000000000000000e+000, 0.000000000000000e+000, -1.854962646603093e-002
259, 8.235722184181210e-001, -6.217850837856530e-003, 2.068991799924816e+001, 1.000851652499744e+000, -9.132756551970059e-004, -7.704489953788671e-004, 0.000000000000000e+000, 0.000000000000000e+000, -1.584895218900340e-002
285, 8.049457669258120e-001, -8.241767995059490e-003, 8.529077535853160e+000, 1.000851652499744e+000, -9.132756551970059e-004, -7.233377172184843e-004, 0.000000000000000e+000, 0.000000000000000e+000, -1.292412010801221e-002
311, 7.863141298294070e-001, -1.036873925477270e-002, -4.713814041229185e+000, 1.000851652499744e+000, -9.132756551970059e-004, -6.747739390484397e-004, 0.000000000000000e+000, 0.000000000000000e+000, -1.005181046572439e-002
337, 7.678796052932740e-001, -1.264218706637620e-002, -1.654904038764177e+001, 1.000851652499744e+000, -9.132756551970059e-004, -6.319689093980466e-004, 0.000000000000000e+000, 0.000000000000000e+000, -7.759031259030325e-003
363, 7.495508193969730e-001, -1.500672101974490e-002, -2.564748935301571e+001, 1.000851652499744e+000, -9.132756551970059e-004, -5.982193212820379e-004, 0.000000000000000e+000, 0.000000000000000e+000, -6.012418655817399e-003
389, 7.313483357429500e-001, -1.744982041418550e-002, -3.177431201840528e+001, 1.000851652499744e+000, -9.132756551970059e-004, -5.747733105239460e-004, 0.000000000000000e+000, 0.000000000000000e+000, -4.566951236892542e-003
415, 7.132214307785030e-001, -1.993851736187930e-002, -3.541125859601497e+001, 1.000851652499744e+000, -9.132756551970059e-004, -5.597685884308765e-004, 0.000000000000000e+000, 0.000000000000000e+000, -3.347972761398324e-003
441, 6.951977014541630e-001, -2.246599644422530e-002, -3.735816636119077e+001, 1.000851652499744e+000, -9.132756551970059e-004, -5.508496924592712e-004, 0.000000000000000e+000, 0.000000000000000e+000, -2.386413142934576e-003
467, 6.773055195808410e-001, -2.502630092203620e-002, -3.845860191484172e+001, 1.000851652499744e+000, -9.132756551970059e-004, -5.447627659011239e-004, 0.000000000000000e+000, 0.000000000000000e+000, -1.560096427093257e-003
493, 6.594728827476500e-001, -2.758665196597580e-002, -3.937578534251438e+001, 1.000851652499744e+000, -9.132756551970059e-004, -5.398227619835081e-004, 0.000000000000000e+000, 0.000000000000000e+000, -6.196333139753216e-004
519, 6.418011188507080e-001, -3.016339242458340e-002, -4.028537402611591e+001, 1.000851652499744e+000, -9.132756551970059e-004, -5.363187152716646e-004, 0.000000000000000e+000, 0.000000000000000e+000, -2.740195754208294e-004
