"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,           0,       1.287379821,      -1.572958217,      -1.926600813,                 0,      -3.620314392
          0,           0,           1,       1.268553812,      -1.476323488,      -1.060072407,                 0,      -3.840323374
          0,           0,           2,       1.252399619,      -1.427679593,      -1.228984947,                 0,      -3.961324078
          0,           0,           3,       1.231517956,      -1.412400508,      -1.275403918,                 0,      -4.037282268
          0,           0,           4,       1.204587148,      -1.416988491,      -1.305147763,                 0,      -4.079447661
          0,           0,           5,       1.174985172,      -1.425066237,      -1.319439893,                 0,      -4.107474534
          0,           0,           6,       1.145597006,      -1.429051143,      -1.322537579,                 0,      -4.127919897
          0,           0,           7,       1.118253402,      -1.427910389,       -1.32125316,                 0,      -4.143393183
          0,           0,           8,       1.094006274,      -1.423408182,      -1.319347307,                 0,      -4.156109351
          0,           0,           9,       1.073494476,      -1.417240652,       -1.31791561,                 0,      -4.167379417
          0,           0,          10,       1.057317168,      -1.409838635,      -1.316410525,                 0,      -4.177360652
          0,           0,          11,       1.046229525,      -1.400512146,      -1.313846675,                 0,      -4.185545167
          0,           0,          12,       1.040976879,      -1.388291353,      -1.309835519,                 0,       -4.19151213
          0,           0,          13,       1.041847446,      -1.372799655,      -1.304926309,                 0,      -4.195387593
          0,           0,          14,       1.048305846,      -1.354615088,      -1.300203655,                 0,      -4.197772488
          0,           0,          15,        1.05903531,      -1.335003496,      -1.296641088,                 0,      -4.199359583
          0,           0,          16,        1.07235616,      -1.315365891,      -1.294704051,                 0,      -4.200614816
          0,           0,          17,         1.0867068,      -1.296804304,      -1.294316957,                 0,      -4.201700133
          0,           0,          18,       1.100932228,      -1.279956414,      -1.295047973,                 0,      -4.202579582
          0,           0,          19,       1.114342046,      -1.265032235,      -1.296338701,                 0,      -4.203169182
          0,           0,          20,       1.126629557,      -1.251934538,      -1.297683616,                 0,      -4.203431057
          0,           0,          21,       1.137749733,      -1.240383838,      -1.298738127,                 0,      -4.203384592
          0,           0,          22,       1.147810356,      -1.230017286,      -1.299368046,                 0,      -4.203059758
          0,           0,          23,       1.156991792,      -1.220460009,      -1.299652255,                 0,      -4.202437631
          0,           0,          24,       1.165491621,      -1.211376903,      -1.299839076,                 0,      -4.201417969
          0,           0,          25,       1.173486505,      -1.202510434,      -1.300256992,                 0,      -4.199834891
          0,           0,          26,       1.181107115,      -1.193703935,      -1.301194328,                 0,      -4.197517229
          0,           0,          27,       1.188425833,      -1.184906604,      -1.302777894,                 0,      -4.194367068
          0,           0,          28,       1.195458473,      -1.176158109,       -1.30488597,                 0,      -4.190417976
          0,           0,          29,       1.202179551,      -1.167556025,      -1.307126096,                 0,      -4.185842393
          0,           0,          30,       1.208547539,      -1.159214539,      -1.308895829,                 0,      -4.180903515
          0,           0,          31,       1.214534433,      -1.151224412,      -1.309523438,                 0,      -4.175875036
          0,           0,          32,       1.220153291,        -1.1436225,      -1.308453899,                 0,      -4.170964277
          0,           0,          33,       1.225478225,      -1.136375388,      -1.305415082,                 0,      -4.166266612
          0,           0,          34,       1.230652854,      -1.129378246,      -1.300495663,                 0,      -4.161760768
          0,           0,          35,       1.235884819,      -1.122467619,      -1.294104969,                 0,      -4.157337137
          0,           0,          36,       1.241425803,      -1.115445324,      -1.286843211,                 0,       -4.15284136
          0,           0,          37,       1.247539055,      -1.108109337,      -1.279345279,                 0,      -4.148114533
          0,           0,          38,       1.254459451,      -1.100286373,      -1.272153731,                 0,      -4.143017871
          0,           0,          39,       1.262353882,      -1.091860199,      -1.265645267,                 0,      -4.137440113
          0,           0,          40,         1.2712908,      -1.082790289,      -1.260007707,                 0,       -4.13129527
          0,           0,          41,       1.281226146,      -1.073117473,      -1.255252964,                 0,      -4.124522141
          0,           0,          42,       1.292008843,      -1.062956198,      -1.251251994,                 0,      -4.117093388
          0,           0,          43,       1.303404135,      -1.052475899,       -1.24778194,                 0,      -4.109033213
          0,           0,          44,       1.315129231,      -1.041875686,      -1.244578284,                 0,      -4.100433724
          0,           0,          45,       1.326894027,      -1.031357045,      -1.241384451,                 0,       -4.09145638
          0,           0,          46,       1.338439859,      -1.021098657,      -1.237989878,                 0,      -4.082309311
          0,           0,          47,       1.349570777,      -1.011236455,      -1.234248006,                 0,      -4.073201362
          0,           0,          48,       1.360173239,      -1.001851287,      -1.230070239,                 0,       -4.06428408
          0,           0,          49,       1.370222043,     -0.9929653406,      -1.225399386,                 0,      -4.055599173
          0,           0,          50,       1.379772065,     -0.9845474627,      -1.220173661,                 0,      -4.047048255
          0,           0,          51,       1.388937596,     -0.9765260505,       -1.21429596,                 0,      -4.038396279
          0,           0,          52,       1.397863553,     -0.9688067273,       -1.20762122,                 0,      -4.029311367
          0,           0,          53,        1.40669493,     -0.9612908864,      -1.199967855,                 0,      -4.019432964
          0,           0,          54,       1.415551563,     -0.9538910207,      -1.191150163,                 0,      -4.008449739
          0,           0,          55,       1.424513767,     -0.9465398014,      -1.181020243,                 0,       -3.99616301
          0,           0,          56,       1.433620873,     -0.9391919246,      -1.169503964,                 0,      -3.982515633
          0,           0,          57,       1.442880444,     -0.9318200567,      -1.156618072,                 0,      -3.967580368
          0,           0,          58,       1.452282787,     -0.9244078716,      -1.142463721,                 0,      -3.951518435
          0,           0,          59,       1.461814608,     -0.9169435576,      -1.127201551,                 0,      -3.934528812
          0,           0,          60,       1.471467205,     -0.9094162915,      -1.111019596,                 0,      -3.916807441
          0,           0,          61,        1.48123754,     -0.9018165554,      -1.094105506,                 0,      -3.898526292
          0,           0,          62,       1.491123333,     -0.8941395579,      -1.076630025,                 0,      -3.879831786
          0,           0,          63,       1.501115139,     -0.8863900003,      -1.058742744,                 0,      -3.860855409
          0,           0,          64,        1.51118873,     -0.8785862418,       -1.04057674,                 0,      -3.841727673
          0,           0,          65,       1.521300284,     -0.8707624574,      -1.022256964,                 0,      -3.822588635
          0,           0,          66,       1.531385424,     -0.8629682907,       -1.00390784,                 0,      -3.803591891
          0,           0,          67,       1.541361742,     -0.8552663779,     -0.9856574274,                 0,      -3.784902349
          0,           0,          68,       1.551133485,     -0.8477286606,     -0.9676375796,                 0,      -3.766690133
          0,           0,          69,       1.560596874,     -0.8404325114,     -0.9499810492,                 0,      -3.749123446
          0,           0,          70,       1.569644795,     -0.8334574657,      -0.932817168,                 0,      -3.732362597
          0,           0,          71,       1.578170174,     -0.8268829463,     -0.9162676319,                 0,      -3.716556309
          0,           0,          72,       1.586067914,     -0.8207869883,     -0.9004434144,                 0,      -3.701840463
          0,           0,          73,       1.593235654,     -0.8152457108,     -0.8854432112,                 0,      -3.688338805
          0,           0,          74,       1.599573791,     -0.8103331685,     -0.8713533304,                 0,      -3.676164921
          0,           0,          75,       1.604985215,     -0.8061212364,     -0.8582486607,                 0,      -3.665424807
          0,           0,          76,       1.609375109,     -0.8026792597,     -0.8461942622,                 0,      -3.656219534
          0,           0,          77,       1.612651029,     -0.8000733095,     -0.8352471723,                 0,      -3.648647715
          0,           0,          78,       1.614723426,     -0.7983649637,     -0.8254581321,                 0,      -3.642807643
          0,           0,          79,       1.615506668,     -0.7976095751,     -0.8168730557,                 0,      -3.638799079
          0,           0,          80,        1.61492067,     -0.7978539937,     -0.8095341682,                 0,      -3.636724728
          0,           0,          81,       1.612893263,     -0.7991336828,     -0.8034807996,                 0,      -3.636691445
          0,           0,          82,        1.60936354,     -0.8014691292,     -0.7987498496,                 0,      -3.638811171
          0,           0,          83,       1.604286524,     -0.8048614119,     -0.7953759446,                 0,      -3.643201529
          0,           0,          84,        1.59763965,     -0.8092867817,     -0.7933912857,                 0,      -3.649985883
          0,           0,          85,       1.589431712,     -0.8146901366,     -0.7928251592,                 0,      -3.659292484
          0,           0,          86,       1.579715081,     -0.8209773822,     -0.7937030433,                 0,       -3.67125199
          0,           0,          87,       1.568602007,     -0.8280068996,     -0.7960451996,                 0,      -3.685992125
          0,           0,          88,       1.556285664,     -0.8355807454,     -0.7998645885,                 0,      -3.703627326
          0,           0,          89,       1.543065814,     -0.8434368468,      -0.805163888,                 0,      -3.724239687
          0,           0,          90,       1.529377138,     -0.8512443203,     -0.8119313306,                 0,      -3.747845026
          0,           0,          91,       1.515814883,     -0.8586050109,     -0.8201349976,                 0,      -3.774334018
          0,           0,          92,       1.503147085,     -0.8650650361,     -0.8297151499,                 0,       -3.80337331
          0,           0,          93,       1.492296574,     -0.8701398351,     -0.8405741505,                 0,      -3.834247937
          0,           0,          94,       1.484273454,     -0.8733541226,     -0.8525636134,                 0,      -3.865633999
          0,           0,          95,        1.48004744,     -0.8742937922,     -0.8654687229,                 0,      -3.895335442
