"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.339095       , 0.001           
1               , -0.379254       , 0.001           
2               , -0.373178       , 0.001           
3               , -0.358828       , 0.001           
4               , -0.359825       , 0.001           
5               , -0.39208        , 0.001           
6               , -0.464798       , 0.001           
7               , -0.580682       , 0.001           
8               , -0.736415       , 0.001           
9               , -0.923674       , 0.001           
10              , -1.13041        , 0.001           
11              , -1.34142        , 0.001           
12              , -1.53618        , 0.001           
13              , -1.67938        , 0.001           
14              , -1.69297        , 0.001           
15              , -1.3785         , 0.001           
16              , -0.189994       , 0.001           
17              , 3.49189         , 0.001           
18              , 14.7735         , 0.001           
19              , -8.78331        , 0.001           
20              , -6.59398        , 0.001           
21              , -3.98474        , 0.001           
22              , -1.59383        , 0.001           
23              , 0.360284        , 0.001           
24              , 1.81605         , 0.001           
25              , 2.79701         , 0.001           
26              , 3.37725         , 0.001           
27              , 3.65646         , 0.001           
28              , 3.73815         , 0.001           
29              , 3.71122         , 0.001           
30              , 3.63683         , 0.001           
31              , 3.54229         , 0.001           
32              , 3.41978         , 0.001           
33              , 3.22041         , 0.001           
34              , 2.82444         , 0.001           
35              , 1.97479         , 0.001           
36              , 0.212068        , 0.001           
37              , -2.94432        , 0.001           
