"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-001, 9.428599150851370e-004, 8.419377885174357e+002, -1.355729299199575e-003, 7.456226588136501e-001, 9.575874369328751e-003, 0.000000000000000e+000, 0.000000000000000e+000, -2.537732147336211e+001
51, 9.695732593536380e-001, 1.489007263444360e-003, 2.856810454926811e+002, -1.901876647558798e-003, 7.297988773233242e-001, 5.030592954689755e-003, 0.000000000000000e+000, 0.000000000000000e+000, -9.220630744734477e+000
77, 9.526804089546200e-001, 1.679251203313470e-003, -1.940762455540972e+002, -2.092120587427908e-003, 7.129060269243062e-001, 4.746739925816118e-003, 0.000000000000000e+000, 0.000000000000000e+000, -3.581566824140541e+000
103, 9.349957108497620e-001, 1.511327689513560e-003, -5.769015721313848e+002, -1.924197073627998e-003, 6.952213288194481e-001, 4.807794408426997e-003, 0.000000000000000e+000, 0.000000000000000e+000, -1.234204962687852e+000
129, 9.168222546577450e-001, 9.227616828866300e-004, -8.623676132593291e+002, -1.335631067001068e-003, 6.770478726274312e-001, 4.824027807498147e-003, 0.000000000000000e+000, 0.000000000000000e+000, -2.116035011814965e-001
155, 8.983380794525150e-001, 8.054462341533510e-006, -1.034978969696439e+003, -4.209238464559711e-004, 6.585636974222011e-001, 4.842601269007527e-003, 0.000000000000000e+000, 0.000000000000000e+000, 1.904365923304688e-001
181, 8.797067403793331e-001, -1.210561604239050e-003, -1.096726797082530e+003, 7.976922201246124e-004, 6.399323583490192e-001, 4.680052214210270e-003, 0.000000000000000e+000, 0.000000000000000e+000, 3.249282764030184e-001
207, 8.610174655914310e-001, -2.686113817617300e-003, -1.056854516149303e+003, 2.273244433502863e-003, 6.212430835611171e-001, 4.288623873462813e-003, 0.000000000000000e+000, 0.000000000000000e+000, 3.458043314348899e-001
233, 8.422674536705020e-001, -4.354327917099000e-003, -9.329732948480173e+002, 3.941458532984562e-003, 6.024930716401882e-001, 3.694699880740515e-003, 0.000000000000000e+000, 0.000000000000000e+000, 3.196757091102314e-001
259, 8.235722184181210e-001, -6.217850837856530e-003, -7.517824687743787e+002, 5.804981453742092e-003, 5.837978363878071e-001, 2.961146203135931e-003, 0.000000000000000e+000, 0.000000000000000e+000, 2.787614779378217e-001
285, 8.049457669258120e-001, -8.241767995059490e-003, -5.454417781177197e+002, 7.828898610945052e-003, 5.651713848954981e-001, 2.177217008935043e-003, 0.000000000000000e+000, 0.000000000000000e+000, 2.371839644916638e-001
311, 7.863141298294070e-001, -1.036873925477270e-002, -3.451442139144587e+002, 9.955869870658262e-003, 5.465397477990931e-001, 1.431406810134309e-003, 0.000000000000000e+000, 0.000000000000000e+000, 1.991733281636287e-001
337, 7.678796052932740e-001, -1.264218706637620e-002, -1.745849884570678e+002, 1.222931768226176e-002, 5.281052232629602e-001, 7.942623862920345e-004, 0.000000000000000e+000, 0.000000000000000e+000, 1.679076894332466e-001
363, 7.495508193969730e-001, -1.500672101974490e-002, -4.658342971650256e+001, 1.459385163563046e-002, 5.097764373666591e-001, 3.031555530801315e-004, 0.000000000000000e+000, 0.000000000000000e+000, 1.429347692042655e-001
389, 7.313483357429500e-001, -1.744982041418550e-002, 3.666526864374320e+001, 1.703695103007106e-002, 4.915739537126362e-001, -3.754975693837702e-005, 0.000000000000000e+000, 0.000000000000000e+000, 1.228567660164293e-001
415, 7.132214307785030e-001, -1.993851736187930e-002, 8.128446876649267e+001, 1.952564797776486e-002, 4.734470487481892e-001, -2.484291998749153e-004, 0.000000000000000e+000, 0.000000000000000e+000, 1.065630148879662e-001
441, 6.951977014541630e-001, -2.246599644422530e-002, 9.772434150031054e+001, 2.205312706011086e-002, 4.554233194238492e-001, -3.634677043251374e-004, 0.000000000000000e+000, 0.000000000000000e+000, 9.317208970095046e-002
467, 6.773055195808410e-001, -2.502630092203620e-002, 9.726260803873581e+001, 2.461343153792176e-002, 4.375311375505271e-001, -4.190452128050279e-004, 0.000000000000000e+000, 0.000000000000000e+000, 8.211642170471481e-002
493, 6.594728827476500e-001, -2.758665196597580e-002, 8.890694922046816e+001, 2.717378258186136e-002, 4.196985007173362e-001, -4.445578106607332e-004, 0.000000000000000e+000, 0.000000000000000e+000, 7.299116177597896e-002
519, 6.418011188507080e-001, -3.016339242458340e-002, 7.852172221412036e+001, 2.975052304046896e-002, 4.020267368203942e-001, -4.587306617791650e-004, 0.000000000000000e+000, 0.000000000000000e+000, 6.629768928655805e-002
545, 6.243042349815370e-001, -3.275020420551300e-002, 6.991472024987341e+001, 3.233733482139856e-002, 3.845298529512232e-001, -4.731552995369119e-004, 0.000000000000000e+000, 0.000000000000000e+000, 6.039150347502173e-002
571, 6.065399646759030e-001, -3.521266952157020e-002, 6.453885449757441e+001, 3.479980013745576e-002, 3.667655826455892e-001, -4.923083925006924e-004, 0.000000000000000e+000, 0.000000000000000e+000, 5.370311409313963e-002
