"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
25, 9.853970408439640e-001, 9.428599150851370e-004, 4.654734003409458e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.058531991672186e+005, 0.000000000000000e+000, 4.234127966688742e+004, 3.168833762471658e+002, 0.000000000000000e+000, 2.469194897689939e-001, 1.924733705481678e-005, 2.533188997204107e-003, -1.098144138239235e-004, -3.204667461076441e+002, 2.402858531479579e+000, 0.000000000000000e+000
51, 9.695732593536380e-001, 1.489007263444360e-003, 4.701369879149055e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.069325501520615e+005, 0.000000000000000e+000, 4.277302006082459e+004, 3.169391144830901e+002, 0.000000000000000e+000, 2.768470319292664e-001, 1.924990443642209e-005, 2.001215231995096e-003, -4.504367893661509e-005, -1.334202455000103e+002, 2.145436233222286e+000, 0.000000000000000e+000
77, 9.526804089546200e-001, 1.679251203313470e-003, 4.733854331127628e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.076963601748775e+005, 0.000000000000000e+000, 4.307854406995099e+004, 3.170125623506044e+002, 0.000000000000000e+000, 2.980254595040467e-001, 1.925328720778505e-005, 1.738278147188634e-003, -1.122089637664177e-006, -7.656110491533364e+001, 2.005888691126120e+000, 0.000000000000000e+000
103, 9.349957108497620e-001, 1.511327689513560e-003, 4.745740160640225e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.079822509324253e+005, 0.000000000000000e+000, 4.319290037297011e+004, 3.170580300379918e+002, 0.000000000000000e+000, 3.059524525025196e-001, 1.925538110833920e-005, 1.598493869624638e-003, 3.372298113355407e-005, -5.551659575670393e+001, 1.925940054855471e+000, 0.000000000000000e+000
129, 9.168222546577450e-001, 9.227616828866300e-004, 4.746278644433855e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.080010808058830e+005, 0.000000000000000e+000, 4.320043232235318e+004, 3.170773406666756e+002, 0.000000000000000e+000, 3.064745549878928e-001, 1.925627036610446e-005, 1.522428619644837e-003, 6.243246213568596e-005, -4.733073385117547e+001, 1.880195125562449e+000, 0.000000000000000e+000
155, 8.983380794525150e-001, 8.054462341533510e-006, 4.740276571395370e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.078648457583495e+005, 0.000000000000000e+000, 4.314593830333981e+004, 3.170783445514929e+002, 0.000000000000000e+000, 3.026971181892817e-001, 1.925631659444047e-005, 1.482793232995577e-003, 8.522789985377486e-005, -4.443802730769168e+001, 1.854994787947698e+000, 0.000000000000000e+000
181, 8.797067403793331e-001, -1.210561604239050e-003, 4.727076590638823e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.075596049388474e+005, 0.000000000000000e+000, 4.302384197553895e+004, 3.170639720664755e+002, 0.000000000000000e+000, 2.942335992571001e-001, 1.925565474262257e-005, 1.470433844532525e-003, 1.061503499503902e-004, -4.403958367397886e+001, 1.844939757994878e+000, 0.000000000000000e+000
207, 8.610174655914310e-001, -2.686113817617300e-003, 4.711831591353046e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.072053183182014e+005, 0.000000000000000e+000, 4.288212732728057e+004, 3.170420793241884e+002, 0.000000000000000e+000, 2.844101702473559e-001, 1.925464655503816e-005, 1.472594416181939e-003, 1.236533365099193e-004, -4.522595056956616e+001, 1.843824215181968e+000, 0.000000000000000e+000
233, 8.422674536705020e-001, -4.354327917099000e-003, 4.694157892878869e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.067936417725688e+005, 0.000000000000000e+000, 4.271745670902750e+004, 3.170137064398230e+002, 0.000000000000000e+000, 2.729954707206677e-001, 1.925333989777160e-005, 1.482914222809114e-003, 1.398645610294494e-004, -4.682844322123678e+001, 1.847493539816077e+000, 0.000000000000000e+000
259, 8.235722184181210e-001, -6.217850837856530e-003, 4.671574372593577e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.062674830244649e+005, 0.000000000000000e+000, 4.250699320978595e+004, 3.169767904431388e+002, 0.000000000000000e+000, 2.584064831364607e-001, 1.925163971775897e-005, 1.504768779058030e-003, 1.567372476970417e-004, -4.918425077529579e+001, 1.857455946862340e+000, 0.000000000000000e+000
285, 8.049457669258120e-001, -8.241767995059490e-003, 4.650404897057467e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.057725836115587e+005, 0.000000000000000e+000, 4.230903344462347e+004, 3.169368096807006e+002, 0.000000000000000e+000, 2.446842340693514e-001, 1.924979827840353e-005, 1.531726930096519e-003, 1.706482488192405e-004, -5.212852890912974e+001, 1.869847385431136e+000, 0.000000000000000e+000
311, 7.863141298294070e-001, -1.036873925477270e-002, 4.626932851020024e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.052238721094847e+005, 0.000000000000000e+000, 4.208954884379389e+004, 3.168921047971292e+002, 0.000000000000000e+000, 2.294699183900692e-001, 1.924773911885485e-005, 1.559293723841469e-003, 1.851161689791255e-004, -5.464685211311215e+001, 1.883187635938838e+000, 0.000000000000000e+000
337, 7.678796052932740e-001, -1.264218706637620e-002, 4.598894877607035e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.045686448573821e+005, 0.000000000000000e+000, 4.182745794295284e+004, 3.168387812055396e+002, 0.000000000000000e+000, 2.113022032656747e-001, 1.924528278368193e-005, 1.598238270825803e-003, 2.016303719381888e-004, -5.814796260263107e+001, 1.901041317794526e+000, 0.000000000000000e+000
363, 7.495508193969730e-001, -1.500672101974490e-002, 4.569223958634158e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.038749270433869e+005, 0.000000000000000e+000, 4.154997081735476e+004, 3.167806335566139e+002, 0.000000000000000e+000, 1.920672468731581e-001, 1.924260399685473e-005, 1.646909131408706e-003, 2.167385737871769e-004, -6.352046539124623e+001, 1.924002135112479e+000, 0.000000000000000e+000
389, 7.313483357429500e-001, -1.744982041418550e-002, 4.537681056654865e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.031376432957764e+005, 0.000000000000000e+000, 4.125505731831056e+004, 3.167186029757584e+002, 0.000000000000000e+000, 1.716243226061203e-001, 1.923974606045862e-005, 1.702039126608905e-003, 2.310556455252817e-004, -7.000721142414996e+001, 1.949905207529730e+000, 0.000000000000000e+000
415, 7.132214307785030e-001, -1.993851736187930e-002, 4.505824842574687e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.023929635372236e+005, 0.000000000000000e+000, 4.095718541488943e+004, 3.166548500958991e+002, 0.000000000000000e+000, 1.509763265576111e-001, 1.923680848426251e-005, 1.759708526332026e-003, 2.441729696671269e-004, -7.715932551660337e+001, 1.975089440882474e+000, 0.000000000000000e+000
441, 6.951977014541630e-001, -2.246599644422530e-002, 4.470743672282209e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.015735211989598e+005, 0.000000000000000e+000, 4.062940847958393e+004, 3.165855397367284e+002, 0.000000000000000e+000, 1.282553623201354e-001, 1.923361450143319e-005, 1.821608189981666e-003, 2.580457488891221e-004, -8.504236452711757e+001, 2.002549906598115e+000, 0.000000000000000e+000
467, 6.773055195808410e-001, -2.502630092203620e-002, 4.436214236241883e-001, 0.000000000000000e+000, 0.000000000000000e+000, 1.007667501444954e+005, 0.000000000000000e+000, 4.030670005779815e+004, 3.165155692998204e+002, 0.000000000000000e+000, 1.058857391991765e-001, 1.923038975016082e-005, 1.884689291887262e-003, 2.701439777363259e-004, -9.397860551825170e+001, 2.028620558312210e+000, 0.000000000000000e+000
493, 6.594728827476500e-001, -2.758665196597580e-002, 4.399787970295730e-001, 0.000000000000000e+000, 0.000000000000000e+000, 9.991619336866852e+004, 0.000000000000000e+000, 3.996647734746740e+004, 3.164422534156622e+002, 0.000000000000000e+000, 8.230205407198070e-002, 1.922701043817718e-005, 1.948320987275418e-003, 2.819003555092384e-004, -1.038626413891678e+002, 2.053636051080250e+000, 0.000000000000000e+000
