"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,      -3.301254278,      -3.233088962,      -3.026170748
          0,           0,           1,      -3.156098964,      -2.768393228,      -2.517127083
          0,           0,           2,      -3.084821363,      -2.796826613,       -2.49328349
          0,           0,           3,      -3.020200142,      -2.772678733,      -2.441865846
          0,           0,           4,      -3.006147854,      -2.733650994,       -2.37720572
          0,           0,           5,      -3.016357401,      -2.744866764,      -2.355367015
          0,           0,           6,      -3.052993864,      -2.709088841,      -2.362311556
          0,           0,           7,       -3.08880294,      -2.770525102,      -2.379222027
          0,           0,           8,      -3.153275836,      -2.749977565,      -2.384898367
          0,           0,           9,      -3.197833765,      -2.789029434,      -2.428034623
          0,           0,          10,      -3.228743681,      -2.793892394,      -2.459017203
          0,           0,          11,      -3.265264572,      -2.752295314,      -2.399158647
          0,           0,          12,      -3.261445249,      -2.849135512,      -2.528826145
          0,           0,          13,      -3.289873831,      -2.823875548,      -2.471069806
          0,           0,          14,      -3.302592892,      -2.935457724,      -2.590070438
          0,           0,          15,       -3.33906119,      -2.969216678,      -2.611217057
          0,           0,          16,      -3.378266344,      -3.064740446,      -2.705806819
          0,           0,          17,      -3.417531598,      -2.757550567,      -2.371514349
          0,           0,          18,      -3.430578375,      -2.998137221,      -2.629674044
          0,           0,          19,      -3.513008924,      -2.964882342,      -2.602283539
          0,           0,          20,      -3.521288617,      -3.198806742,      -2.864135098
          0,           0,          21,      -3.598335489,       -3.22401744,      -2.890769829
          0,           0,          22,      -3.619184695,       -3.29436221,      -2.985885796
          0,           0,          23,      -3.646781116,       -3.28548291,      -2.974712068
          0,           0,          24,       -3.66802759,      -3.354619268,      -3.041079222
          0,           0,          25,      -3.686775148,      -3.398930435,      -3.073852806
          0,           0,          26,      -3.732785188,      -3.464720414,      -3.114757981
          0,           0,          27,      -3.778621654,      -3.523695218,      -3.170990346
          0,           0,          28,      -3.846405763,       -3.59203401,       -3.22628782
          0,           0,          29,      -3.921920061,       -3.64825622,      -3.311201308
          0,           0,          30,       -3.99566109,      -3.698616124,      -3.377107378
          0,           0,          31,       -4.07106166,       -3.75288443,      -3.458037207
          0,           0,          32,      -4.117164321,      -3.800722571,      -3.503811603
          0,           0,          33,       -4.15474916,      -3.858796512,       -3.54853313
          0,           0,          34,      -4.187907355,      -3.919360848,      -3.578148317
          0,           0,          35,      -4.218956716,      -3.981835299,       -3.61459623
          0,           0,          36,      -4.271866868,      -4.042389274,      -3.661003124
          0,           0,          37,      -4.326329692,      -4.087853614,      -3.717426347
          0,           0,          38,      -4.399796236,      -4.133067575,      -3.784390562
          0,           0,          39,      -4.473639627,      -4.173793333,      -3.859311743
          0,           0,          40,      -4.535363213,      -4.220711671,      -3.920158266
          0,           0,          41,      -4.588999984,      -4.276971165,      -3.977528546
          0,           0,          42,      -4.617693246,       -4.33315681,      -4.009114331
          0,           0,          43,      -4.650973981,      -4.396157537,      -4.045509008
          0,           0,          44,      -4.687883462,      -4.457317895,      -4.080726936
          0,           0,          45,      -4.734213511,      -4.511140915,       -4.12687615
          0,           0,          46,      -4.800231134,      -4.556411954,      -4.188091412
          0,           0,          47,      -4.868389063,      -4.593117633,      -4.255369884
          0,           0,          48,      -4.945000888,      -4.639051462,      -4.328412848
          0,           0,          49,      -5.005116975,      -4.687212373,      -4.390494227
          0,           0,          50,      -5.046434078,      -4.742446575,       -4.43486085
          0,           0,          51,      -5.081465084,      -4.804342392,      -4.473448389
          0,           0,          52,      -5.109464416,      -4.867089429,      -4.503206809
          0,           0,          53,      -5.152050029,      -4.929032007,      -4.545424905
          0,           0,          54,      -5.204089501,      -4.977923239,      -4.595081924
          0,           0,          55,      -5.269325326,       -5.01935715,      -4.657879342
          0,           0,          56,      -5.346226081,      -5.058663725,       -4.73104383
          0,           0,          57,      -5.413340902,      -5.100920191,      -4.798117579
          0,           0,          58,      -5.470913264,      -5.153107678,      -4.856528679
          0,           0,          59,      -5.505612495,      -5.209241154,      -4.895608908
          0,           0,          60,      -5.534211647,      -5.271104747,       -4.92704904
          0,           0,          61,      -5.568882049,      -5.336103235,      -4.962617447
          0,           0,          62,      -5.610899114,      -5.394000947,      -5.003853796
          0,           0,          63,        -5.6714715,      -5.442518931,      -5.061954051
          0,           0,          64,      -5.741556407,      -5.479123845,      -5.129500443
          0,           0,          65,      -5.817684037,      -5.519721832,      -5.203411231
          0,           0,          66,      -5.885165846,       -5.56467419,      -5.270523757
          0,           0,          67,       -5.92798629,      -5.615207935,      -5.316759768
          0,           0,          68,      -5.959871396,      -5.673168803,      -5.351777979
          0,           0,          69,      -5.985472028,      -5.736430198,      -5.379959285
          0,           0,          70,      -6.021492738,      -5.801447597,      -5.415980773
          0,           0,          71,       -6.07176711,      -5.858040487,      -5.464750413
          0,           0,          72,      -6.135444896,      -5.900831634,       -5.52625639
          0,           0,          73,      -6.214097086,      -5.939321787,      -5.602035908
          0,           0,          74,      -6.289237484,      -5.978004455,      -5.676130294
          0,           0,          75,       -6.34912857,      -6.025199922,      -5.737196399
          0,           0,          76,      -6.385014204,      -6.077073682,      -5.776731101
          0,           0,          77,      -6.406957189,      -6.135110557,      -5.802311614
          0,           0,          78,      -6.434953648,      -6.200480232,      -5.831339902
          0,           0,          79,      -6.472847702,      -6.264855815,      -5.868645019
          0,           0,          80,      -6.528850612,      -6.318390918,      -5.922460233
          0,           0,          81,      -6.601109731,      -6.357396118,      -5.992245017
          0,           0,          82,      -6.682561129,       -6.39419741,      -6.071670268
          0,           0,          83,      -6.759864748,       -6.43702821,      -6.148423549
          0,           0,          84,      -6.808947397,      -6.484174722,      -6.200749324
          0,           0,          85,      -6.835507067,      -6.537195973,      -6.231435525
          0,           0,          86,      -6.854061539,      -6.597174316,      -6.252723858
          0,           0,          87,      -6.880593049,      -6.663524247,       -6.27955893
          0,           0,          88,      -6.924313885,      -6.727079475,      -6.321530471
          0,           0,          89,      -6.985086665,      -6.774360507,      -6.379995964
          0,           0,          90,      -7.064791123,      -6.811481287,      -6.457080367
          0,           0,          91,      -7.151367486,      -6.848251535,      -6.542241073
          0,           0,          92,      -7.223450383,      -6.892996137,      -6.615592068
          0,           0,          93,      -7.264700678,      -6.942531843,       -6.66095211
          0,           0,          94,      -7.280732717,      -6.995844363,      -6.681424789
          0,           0,          95,      -7.297439839,      -7.057547319,      -6.699789394
          0,           0,          96,      -7.326073931,      -7.125667234,      -6.727604513
          0,           0,          97,      -7.373329756,      -7.185974302,      -6.772575389
          0,           0,          98,      -7.441627717,      -7.228049428,      -6.838204311
          0,           0,          99,      -7.526574702,      -7.261018917,      -6.921139558
          0,           0,         100,      -7.616530378,      -7.300983046,      -7.010455224
          0,           0,         101,      -7.682169766,      -7.347473267,      -7.079071287
          0,           0,         102,      -7.711439915,      -7.397859013,      -7.113373715
          0,           0,         103,      -7.722695104,      -7.452712562,      -7.128141087
          0,           0,         104,      -7.737804375,      -7.516922151,      -7.143831612
          0,           0,         105,      -7.770150122,      -7.585959572,      -7.174330193
          0,           0,         106,       -7.82230836,       -7.64128505,      -7.223804739
          0,           0,         107,      -7.896535215,      -7.677380911,      -7.295587075
          0,           0,         108,       -7.98800444,      -7.709497609,      -7.385676531
          0,           0,         109,      -8.076494733,      -7.751150092,      -7.475274499
          0,           0,         110,      -8.133791893,       -7.80064277,      -7.536763515
          0,           0,         111,      -8.152466294,       -7.85143322,      -7.560451434
          0,           0,         112,      -8.160084923,      -7.907736097,      -7.570358321
          0,           0,         113,      -8.177613942,      -7.975517306,      -7.587115706
          0,           0,         114,      -8.213295352,      -8.044292927,      -7.620247685
          0,           0,         115,      -8.271355838,      -8.093386057,      -7.675486194
          0,           0,         116,      -8.351462781,      -8.122919291,      -7.753800372
          0,           0,         117,      -8.446897271,      -8.156086649,      -7.849119962
          0,           0,         118,      -8.532035094,      -8.200850364,      -7.937060373
          0,           0,         119,      -8.576598466,      -8.251332483,      -7.986781907
          0,           0,         120,      -8.587966103,      -8.302464576,       -8.00200666
          0,           0,         121,      -8.594636011,      -8.361406352,      -8.009419846
          0,           0,         122,      -8.615483951,      -8.432495979,      -8.028296013
          0,           0,         123,      -8.656178057,      -8.499257274,      -8.065888548
          0,           0,         124,      -8.719418194,      -8.539739123,      -8.126658835
          0,           0,         125,      -8.805554823,      -8.565505517,      -8.211937813
          0,           0,         126,      -8.902364036,      -8.600246913,      -8.310455094
          0,           0,         127,      -8.979620423,      -8.648609172,      -8.392139771
          0,           0,         128,      -9.011968419,      -8.699394301,      -8.429403603
          0,           0,         129,      -9.017853814,      -8.750490692,      -8.437532578
          0,           0,         130,      -9.026983578,      -8.812936276,      -8.445791927
          0,           0,         131,       -9.05202407,      -8.887346528,      -8.467863198
          0,           0,         132,      -9.097945851,      -8.949195887,      -8.510506717
          0,           0,         133,      -9.167014755,      -8.980581514,       -8.57779406
          0,           0,         134,       -9.25764573,      -9.004622023,      -8.669105719
          0,           0,         135,      -9.353430883,      -9.043640529,       -8.76856618
